"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"127","3q13.31",0.118287622228731,0.34829697731968,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"128","3q13.33",0.0887587811761096,0.283464318573122,0.777471963797682,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"129","3q21.1",0.0796882288367641,0.278427119486894,0.78132319878531,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"130","3q21.3",0.110876864374994,0.422753392727307,0.673483565052906,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"131","3q22.1",0.143494600417829,0.559325183019879,0.577329076179383,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"132","3q22.2",0.160870021306229,0.634650177649827,0.527266643467831,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"133","3q22.3",0.207877416446759,0.847152827011457,0.399157084725742,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"134","3q23",0.235866152078502,1.03883802315014,0.301662971602135,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"135","3q24",0.227465361712196,1.10682025031066,0.271321225405988,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"136","3q25.1",0.247904012238512,1.3322386620369,0.186145397912221,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"137","3q25.2",0.252339595515653,1.47521895131627,0.143643572673126,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"138","3q25.31",0.255236580647905,1.55440252781773,0.123598049309677,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"139","3q25.32",0.257311578629807,1.59420421130435,0.11439629143954,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"140","3q25.33",0.257417162866073,1.67818358761034,0.0967806106042636,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"141","3q26.1",0.2603029973341,1.75208415149757,0.0831654069396581,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"142","3q26.2",0.256829701149501,1.80663365861713,0.0741614521389348,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"143","3q26.31",0.256581965735114,1.83234846224776,0.0702066084112516,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"144","3q26.32",0.253787837920061,1.90815176660427,0.0595593944937308,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"145","3q26.33",0.240141328749734,2.03424607524606,0.0448702088038833,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
