,TumorType,Arm_1p,Arm_1q,Arm_2p,Arm_2q,Arm_3p,Arm_3q,Arm_4p,Arm_4q,Arm_5p,Arm_5q,Arm_6p,Arm_6q,Arm_7p,Arm_7q,Arm_8p,Arm_8q,Arm_9p,Arm_9q,Arm_10p,Arm_10q,Arm_11p,Arm_11q,Arm_12p,Arm_12q,Arm_13q,Arm_14q,Arm_15q,Arm_16p,Arm_16q,Arm_17p,Arm_17q,Arm_18p,Arm_18q,Arm_19p,Arm_19q,Arm_20p,Arm_20q,Arm_21p,Arm_21q,Arm_22q
11CO053,CO,0,0,0,0,0,0,0,0,0,0,0.636473150804079,0,1.08488595292333,1.08488595292333,0,0,0,0,0,0,0,0,0,0,0.318660332896918,0,-0.702304751048638,0.200850485207313,0.200850485207313,-0.717145034528297,0,-0.745162500161392,-0.745162500161392,0,0,0,1.91434526332835,-1.41920547868994,0,-0.777226047358253
11CO054,CO,0,0,0.697567413852088,0.697567413852088,0,0,-0.742334986486632,-0.742334986486632,1.06981042221847,0,1.03022125218948,1.03022125218948,0,0,0.676022490475939,0.676022490475939,0,0,0,0,0,0,0,0,1.42205520235714,-1.08709828994633,0,0.600332092033196,0.600332092033196,-1.28869161623812,0.637249365053099,-1.08134105605238,-1.08134105605238,0,0,0.825360720083554,2.87978550175733,0,0,0
11CO057,CO,0,0,0.41793425580242,0.41793425580242,0,0,0,0,0,0,0.79572990438789,0.79572990438789,0,0,0,1.21007738702371,0,0,0,0,0,0,0.463536018672216,0.463536018672216,1.43609861063876,0,0,0,0,0,0,-0.523005863934636,-1.20417911436293,0.4429987869953,0.4429987869953,2.02684882249266,2.02684882249266,0,0,-0.240700551807044
11CO058,CO,0,0,0,0,0,0,-0.654528801934707,-0.654528801934707,0,0,-0.602293610831269,-0.602293610831269,0.749458022154446,0.749458022154446,0,0,-0.567124936535268,-0.567124936535268,-0.926528388250466,-0.926528388250466,-0.608751810310525,-0.608751810310525,0,0,0.730686693943486,-0.674461395639916,-1.69677573902882,-0.605520215940796,-0.605520215940796,-1.89126808043825,-1.89126808043825,-2.03907787093187,-2.03907787093187,0,0,0.788512370797957,0.788512370797957,-0.535654992093935,-0.535654992093935,-0.621728460580107
11CO059,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11CO060,CO,0.275577284050013,0.275577284050013,0,0,0,0,0,0,0.717027277015575,-1.1469542846574,1.17401091426077,1.17401091426077,0.604197737978321,0.604197737978321,-1.34517221889888,2.08822491148431,0.582252833543424,0.582252833543424,0,0,1.13967478963509,1.13967478963509,0,0,1.41557715126999,0.631418848455867,0,0,0,-0.273010336934889,-0.273010336934889,-1.21990242140893,-1.21990242140893,-0.412625653466601,-0.412625653466601,2.593483814813,2.593483814813,-0.43135100838455,-0.43135100838455,0.778090773660955
11CO061,CO,0,0,0,0,0,0,0,0,0,0,0,0,0.766185588177432,0.766185588177432,0.737524428733215,0.737524428733215,0,0,0,0,0,0,0.716456637198702,0.716456637198702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11CO062,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895448436467248,0.895448436467248,0,0,0,0,0,-0.379020606868376,-0.379020606868376,0,0,-0.353136989436092,-0.353136989436092,0,0,0,0,-0.458780896883868
11CO070,CO,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.361,0,0,0,0,0
11CO072,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.396213449205956,-1.22763000100175,0,0,0,0,0.827350342815718,-1.20418732041219,0,0,0,-1.22240018593887,0,-1.19384306372429,-1.19384306372429,0,0,-1.0780096669707,1.45565453780444,0,0,-1.36515922073473
11CO077,CO,0,0,0,0,0,0,-0.444742485168933,0,0,0,0,0,1.21497846300435,1.21497846300435,0.478277146307126,0.478277146307126,-0.61857098589341,-0.61857098589341,-0.660781928040068,-0.660781928040068,-0.572246837312851,-0.572246837312851,0,0,1.4770238455722,-3.27841266621424,-0.61857098589341,0,0.466363075520997,-3.32192809488736,0,-3.32192809488736,-3.32192809488736,-1.03438642766577,-1.03438642766577,2.09998231536392,2.28251046114416,-0.834603400584262,-0.834603400584262,-1.03438642766577
