"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1793","Arm18q",-10.2030115493067,-0.824804101042224,0.409962418890648,"ALL",-0.18198305710349,-1,"STAD"
"1794","Arm19p",50.7787791528506,2.79584324043019,0.00541984604603358,"ALL",0.954259188624991,-1,"STAD"
"1795","Arm19q",43.8984562305468,2.88905232529889,0.00406903811368567,"ALL",0.954259188624991,-1,"STAD"
"1796","Arm20p",23.0630585575854,2.14061656727353,0.0328942635831881,"ALL",0.630747053834932,1,"STAD"
"1797","Arm20q",18.2926146951755,1.445723976868,0.14901856953978,"ALL",0.444424674459955,1,"STAD"
"1798","Arm21q",-1.51546336917129,-0.0951754811882858,0.924221943027324,"ALL",-0.0154469044205552,-1,"STAD"
"1799","Arm22q",23.6453401670433,1.28609381398127,0.199136137740746,"ALL",0.366819664530872,-1,"STAD"
"1800","ArmXp",-8.10275338647355,-0.376789585801857,0.70652490792497,"ALL",-0.0654730891784693,-1,"STAD"
"1801","ArmXq",-13.1219028486337,-0.599642111187461,0.54907600562556,"ALL",-0.124704932349375,-1,"STAD"
"1802","Arm1p",18.3507581919237,0.710150656523607,0.477889882603866,"ALL",0.0803339603122339,-1,"STES"
"1803","Arm1q",-26.971718786141,-1.39661636566864,0.163051449745603,"ALL",-0.350982737717635,1,"STES"
"1804","Arm2p",-5.71248695841744,-0.213932934341672,0.830672893690963,"ALL",-0.0167657197451498,1,"STES"
"1805","Arm2q",4.24350390403657,0.154995403765051,0.87687768127732,"ALL",0.0139682128481744,1,"STES"
"1806","Arm3p",29.7437515599222,1.70973689577333,0.0878376674247476,"ALL",0.53247691998304,-1,"STES"
"1807","Arm3q",-7.47174244494756,-0.531159205576013,0.595507344310491,"ALL",-0.0676375295146762,1,"STES"
"1808","Arm4p",10.1090750689025,0.603069458042035,0.54669305661523,"ALL",0.0676375295146762,-1,"STES"
"1809","Arm4q",33.3117610317713,1.68227090823573,0.0930427580453811,"ALL",0.53247691998304,-1,"STES"
"1810","Arm5p",18.4267603003944,1.71460965202803,0.0869392985093825,"ALL",0.53247691998304,1,"STES"
"1811","Arm5q",33.3491856582634,2.24899031984952,0.0248793162466164,"ALL",0.836475742742057,-1,"STES"
"1812","Arm6p",12.3898291252562,0.724443281938485,0.469079357183137,"ALL",0.0803339603122339,1,"STES"
"1813","Arm6q",8.60290007120829,0.517058270422878,0.605308275826658,"ALL",0.0676375295146762,-1,"STES"
"1814","Arm7p",4.58783246026072,0.330704653757627,0.740984399948635,"ALL",0.0225570567889155,1,"STES"
"1815","Arm7q",9.72396220766544,0.664258335852071,0.506783179193326,"ALL",0.0803339603122339,1,"STES"
"1816","Arm8p",-2.52899273190657,-0.263357948413759,0.792366181474573,"ALL",-0.0197691289335497,1,"STES"
"1817","Arm8q",-10.8407316281141,-1.01298056828821,0.311482573573019,"ALL",-0.149054894058627,1,"STES"
"1818","Arm9p",26.4577826369396,2.0105688495753,0.0448232389316817,"ALL",0.689955417224406,-1,"STES"
"1819","Arm9q",10.9577047221181,0.685944916220515,0.493015932195821,"ALL",0.0803339603122339,-1,"STES"
"1820","Arm10p",12.6150345126427,0.767607847953138,0.443025727349781,"ALL",0.0803339603122339,1,"STES"
"1821","Arm10q",20.1428053706848,1.01364041486376,0.311167761997362,"ALL",0.149054894058627,-1,"STES"
"1822","Arm11p",-1.01369285301121,-0.0506227154469884,0.95964320817084,"ALL",-0.00716634065662774,-1,"STES"
