"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"180","5p15.1",-0.209949729386132,-1.51024053856153,0.134446707292002,"con","ALL","5","p","5p",-0.22793801367251,1,"LUAD","B_cell"
"181","5p13.3",-0.226709175572578,-1.53480666575306,0.128300942559773,"con","ALL","5","p","5p",-0.232670803941469,1,"LUAD","B_cell"
"182","5p13.1",-0.262544297655174,-1.53372724336938,0.128566239939369,"con","ALL","5","p","5p",-0.232670803941469,1,"LUAD","B_cell"
"183","5p12",-0.286484460649361,-1.62254003520879,0.108147344847507,"con","ALL","5","p","5p",-0.232704900145023,1,"LUAD","B_cell"
"184","5q11.1",-0.33020944567929,-1.70624635800144,0.0913729653649226,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"185","5q11.2",-0.378105115921032,-1.92462418631396,0.0574004608430217,"con","ALL","5","q","5q",-0.241847210106312,1,"LUAD","B_cell"
"186","5q12.1",-0.391124393257812,-2.03886323287044,0.0443648167624592,"con","ALL","5","q","5q",-0.310913425055388,1,"LUAD","B_cell"
"187","5q12.3",-0.345246323224093,-1.86198331015843,0.0658327618705963,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"188","5q13.1",-0.329601757049757,-1.82882311500804,0.070701720072683,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"189","5q13.2",-0.276253168737578,-1.66095230183736,0.100164824359766,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"190","5q13.3",-0.248998900952458,-1.58153840975032,0.117224615464542,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"191","5q14.1",-0.244173732425786,-1.58273039657789,0.116952398280593,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"192","5q14.2",-0.246978914756422,-1.65027986138797,0.10233324606487,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"193","5q14.3",-0.25267452532023,-1.7012972834222,0.0923018349091933,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"194","5q15",-0.258245494556418,-1.72684319210123,0.0875889509601852,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"195","5q21.1",-0.25589040100832,-1.69767631936548,0.0929863094318612,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"196","5q21.3",-0.259979320343666,-1.70599856001494,0.09141929111793,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"197","5q22.2",-0.269257641483676,-1.72353053240957,0.0881887295016071,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"198","5q22.3",-0.26556747845557,-1.65968765051489,0.100419814555869,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"199","5q23.1",-0.261971225130763,-1.62680467139576,0.107236587417959,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"200","5q23.2",-0.256919015612339,-1.59211410796327,0.114826999156741,"con","ALL","5","q","5q",-0.232704900145023,-1,"LUAD","B_cell"
"201","5q31.1",-0.243682127526954,-1.62167538506862,0.108332756578244,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"202","5q31.2",-0.215098036630429,-1.56298466224424,0.121527302818458,"con","ALL","5","q","5q",-0.232704900145023,1,"LUAD","B_cell"
"203","5q31.3",-0.131520593977006,-0.996116378485857,0.32183500406392,"con","ALL","5","q","5q",-0.0419733049647718,1,"LUAD","B_cell"
"204","5q32",-0.0557222521108157,-0.459977111012236,0.646629791259224,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"205","5q33.1",-0.0524109415162397,-0.439942910505184,0.66102158517184,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"206","5q33.2",-0.0558967399282194,-0.47085254901704,0.638872766128051,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
