"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"25972","3q27.2",-24.9802297605255,-3.91404775638543,0.000103606774202165,"con","ALL","3","q","3q",-2.40049610077794,1,"LUSC"
"25973","3q27.3",-19.7466507242841,-2.90803871808775,0.00380207478330752,"con","ALL","3","q","3q",-1.2618323304154,1,"LUSC"
"25974","3q28",-14.0804646310979,-1.96656161895456,0.0497977311755566,"con","ALL","3","q","3q",-0.631983848695797,1,"LUSC"
"25975","3q29",-12.4208722433809,-1.70307967375385,0.0891872837808427,"con","ALL","3","q","3q",-0.50036265530391,1,"LUSC"
"25976","4p16.3",3.2273198544613,0.286219036408781,0.774831332559559,"con","ALL","4","p","4p",0.0445638782884013,-1,"LUSC"
"25977","4p16.2",-1.34829033720795,-0.11714132325386,0.906796061697291,"con","ALL","4","p","4p",-0.020268571341343,-1,"LUSC"
"25978","4p16.1",7.14305800754821,0.616565862891387,0.537807460493826,"con","ALL","4","p","4p",0.104977213438782,-1,"LUSC"
"25979","4p15.33",5.04256418418347,0.438036001813889,0.661553217652029,"con","ALL","4","p","4p",0.0714486556389408,-1,"LUSC"
"25980","4p15.32",5.00633572376266,0.430694631589152,0.666879807243938,"con","ALL","4","p","4p",0.0714486556389408,-1,"LUSC"
"25981","4p15.31",4.19145244933786,0.349014886881231,0.727228058511366,"con","ALL","4","p","4p",0.0557558222751655,-1,"LUSC"
"25982","4p15.2",4.66491066518562,0.3983844991938,0.690520310931626,"con","ALL","4","p","4p",0.0646558159615365,-1,"LUSC"
"25983","4p15.1",3.73280404667135,0.306014462583511,0.75972360563923,"con","ALL","4","p","4p",0.0484537213891317,-1,"LUSC"
"25984","4p14",-4.04661259663342,-0.343573313682209,0.731314566238091,"con","ALL","4","p","4p",-0.0557558222751655,-1,"LUSC"
"25985","4p13",-4.04448276176523,-0.363847493119031,0.716128832989483,"con","ALL","4","p","4p",-0.0588752579100838,-1,"LUSC"
"25986","4p12",-0.367199460597042,-0.0339351962903915,0.972942645644968,"con","ALL","4","p","4p",-0.00430290014715545,-1,"LUSC"
"25987","4p11",1.959970290279,0.249814542463381,0.80283546772705,"con","ALL","4","p","4p",0.0353755197904184,-1,"LUSC"
"25988","4q12",5.22224662929926,0.626124804676398,0.531524631596546,"con","ALL","4","q","4q",0.106263716855734,-1,"LUSC"
"25989","4q13.1",-3.91005063902356,-0.398243736166496,0.690623989991782,"con","ALL","4","q","4q",-0.0646558159615365,-1,"LUSC"
"25990","4q13.2",-0.31626816625683,-0.0320494474250687,0.974445667958425,"con","ALL","4","q","4q",-0.00418051628530355,-1,"LUSC"
"25991","4q13.3",-2.35279415996965,-0.240923812187392,0.809714939950129,"con","ALL","4","q","4q",-0.0347522195279765,-1,"LUSC"
"25992","4q21.1",-8.08363972752608,-0.778768712570799,0.436491886348997,"con","ALL","4","q","4q",-0.138891499750385,-1,"LUSC"
"25993","4q21.21",-24.6766273965247,-2.04611334783061,0.0412784444843149,"con","ALL","4","q","4q",-0.671792661512924,-1,"LUSC"
"25994","4q21.22",-30.3922032762617,-2.4113965086753,0.0162583880306705,"con","ALL","4","q","4q",-0.874387476612593,-1,"LUSC"
